Variables,mean,mcse,sd,n_eff,Rhat,data.5%,data.95%
(Intercept),10.19,0.02,4.39,35804,1,2.98,17.47
Age,-0.01,0,0.02,33223,1,-0.05,0.03
as.factor(Gender)1,0.79,0,0.52,33168,1,-0.07,1.64
Education,0.62,0,0.26,31899,1,0.19,1.05
as.factor(Marital_status)1,1.2,0,0.62,30277,1,0.18,2.23
income,0.86,0,0.32,34559,1,0.34,1.38
as.factor(Employment)1,2.31,0.01,0.86,20732,1,0.89,3.73
as.factor(Employment)2,2.02,0.01,0.91,20489,1,0.54,3.52
Isolation_yesorno,-0.82,0,0.54,34616,1,-1.72,0.07
FFMQ,0.16,0,0.03,30217,1,0.12,0.21
PHQ,-0.05,0,0.04,28916,1,-0.12,0.01
as.factor(Illnesses)1,-2.58,0,0.74,33701,1,-3.8,-1.36
GHQ,-0.09,0,0.06,31490,1,-0.19,0.01
sigma,5.19,0,0.18,31296,1,4.91,5.49
